"Story","Title","Result","Date","Stability","Duration (s)"
"Login into facebook","Invalid Scenario","ERROR","2023-07-06T19:20:18.3580042+05:30[Asia/Calcutta]","0.0","58.94"
"Search by word","Searching for a word","SUCCESS","2023-07-06T19:21:17.3516191+05:30[Asia/Calcutta]","0.0","14.61"
